"SYMBOL
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)",VALUE ,"CA 
"
GODREJIND,990,"1,194.00",976.35,"1,011.75","1,103.00",9.02,"2,33,59,198","25,75,04,79,099.26",05-Aug-24
M&M,"2,815.20","2,815.20","2,653.35","2,839.45","2,663.50",-6.2,"89,40,621","24,08,62,11,786.42",05-Jul-24
BSE,"5,939.90","6,047.45","5,712.45","5,959.15","5,745.00",-3.59,"33,59,740","19,69,59,71,789.00",14-Jun-24
HDFCBANK,"1,680.90","1,694.95","1,677.25","1,687.10","1,690.00",0.17,"78,40,470","13,22,07,57,323.40",10-May-24
JSWENERGY,474,506.7,473.1,468.55,496,5.86,"2,57,50,317","12,77,29,29,741.51",31-May-24
CDSL,"1,280.00","1,294.00","1,250.00","1,249.25","1,250.10",0.07,"78,09,931","9,90,74,44,168.67",23-Aug-24
KAYNES,"4,210.00","4,490.00","4,200.05","4,211.15","4,360.00",3.53,"22,63,688","9,90,08,05,390.00",08-Sep-23
TATAMOTORS,686,690,671.1,689.8,672.4,-2.52,"1,45,77,524","9,87,74,38,711.92",11-Jun-24
ICICIBANK,"1,241.10","1,244.70","1,224.55","1,249.95","1,232.00",-1.44,"77,86,428","9,60,20,67,281.04",12-Aug-24
BHARTIARTL,"1,643.50","1,658.70","1,629.20","1,643.50","1,636.75",-0.41,"54,47,583","8,94,78,18,504.99",07-Aug-24
GODFRYPHLP,"5,989.00","6,294.75","5,657.30","5,966.60","5,775.80",-3.2,"14,64,130","8,72,03,43,638.70",29-Nov-24
ZOMATO,233,238.73,228.87,233.93,229.81,-1.76,"3,67,68,250","8,54,56,76,665.00",
RELIANCE,"1,228.70","1,240.00","1,222.15","1,233.00","1,226.90",-0.49,"69,04,025","8,50,13,40,224.00",28-Oct-24
RVNL,377.15,393,367.1,381.55,368.5,-3.42,"2,07,55,098","7,88,00,88,057.66",23-Sep-24
DRREDDY,"1,170.70","1,170.75","1,145.25","1,170.95","1,150.80",-1.72,"68,28,902","7,87,15,38,757.36",28-Oct-24
KOTAKBANK,"1,970.55","1,978.35","1,934.50","1,970.55","1,950.15",-1.04,"40,08,552","7,80,18,44,757.60",19-Jul-24
TCS,"3,776.10","3,817.00","3,775.00","3,779.40","3,789.90",0.28,"18,33,931","6,95,43,21,369.93",17-Jan-25
AMBER,"5,801.00","6,119.95","5,740.20","5,837.00","5,964.00",2.18,"11,57,560","6,89,70,31,870.00",02-Aug-24
MAZDOCK,"2,145.80","2,219.85","2,106.00","2,154.30","2,112.00",-1.96,"30,03,528","6,48,05,62,189.20",27-Dec-24
IREDA,173.6,187.7,172.8,173.75,176,1.29,"3,44,09,096","6,27,79,39,565.20",
